Authors,Dates
"['Vianello M G', 'Bonioli E', 'Rizzo A', 'Freschi F', 'Olivo F']",1977-6-9
"['Rosenthal A L', 'Rotheim M B']",1977-5-20
"['Berry R J', 'Peters J']",1977-7-20
['Peteja J'],1977-6-15
"['Kunst F', 'Steinmetz M', 'Lepesant J A', 'Dedonder R']",1977-1-1
"['Rotter J I', 'Rimoin D L']",1977-9-1
"['Funanage V L', 'Brenchley J E']",1977-7-1
"['Dean D R', 'Hoch J A', 'Aronson A I']",1977-9-1
"['Aiuti F', 'Businco L', 'Griscelli C', 'Touraine J', 'Webster A D']",1977-7-1
['Knudson A G'],1977-1-1
['Mitchell R G'],1977-10-1
"['Brown T D', 'Jones-Mortimer M C', 'Kornberg H L']",1977-10-1
"['Ibraimov A I', 'Baĭburiana S Kh', 'Rafibekov S D']",1977-1-1
"['Wainscott V J', 'Ferretti J J']",1978-1-1
"['Pahel G', 'Zelenetz A D', 'Tyler B M']",1978-1-1
"['Ely B', 'Amarasinghe A B', 'Bender R A']",1978-1-1
"['Bignami M', 'Aulicino F', 'Velcich A', 'Carere A', 'Morpurgo G']",1977-12-1
['Fredga K'],1977-12-13
"['Steflea D', 'Cilievici O', 'Tone P', 'Popescu L']",1977-7-1
"['Morgan S', 'Körner A', 'Low K B', 'Söll D']",1977-12-25
"['Hsueh C T', 'Chin J C', 'Yu Y Y', 'Chen H C', 'Li W C', 'Shen M C', 'Chiang C Y', 'Shen S C']",1977-11-1
['Kuhn E'],1978-4-6
"['Gaillardin C M', 'Magasanik B']",1978-3-1
"['Fiorillo A', 'Lupo M', 'Maietta A', 'Tajana G F']",1978-1-1
"['Padua R A', 'Bulfield G', 'Peters J']",1978-2-1
"['Foor F', 'Cedergren R J', 'Streicher S L', 'Rhee S G', 'Magasanik B']",1978-5-1
"['Bloom F R', 'Levin M S', 'Foor F', 'Tyler B']",1978-5-1
"['Bancroft S', 'Rhee S G', 'Neumann C', 'Kustu S']",1978-6-1
['Mortenson L E'],1978-1-1
"['Bresler S E', 'Glazunov E A', 'Perumov D A', 'Chernik T P']",1977-1-1
"['Bodmer W F', 'Jones E A', 'Barnstable C J', 'Bodmer J G']",1978-6-5
"['Tobler J E', 'Grell E H']",1978-4-1
"['Benedict W F', 'Banerjee A', 'Venkatesan N']",1978-9-1
['Thymann M'],1978-8-31
"['Bollack C', 'Weill A', 'Westphal L', 'Gensburger J M']",1978-7-1
"['Manoharan T H', 'Jayaraman K']",1978-8-4
"['Berdyshev G D', 'Masiuk A I', 'Tiulenev V I']",1978-7-1
[],1978-11-1
[],1978-1-1
"['Perry T L', 'Hansen S', 'Currier R D', 'Berry K']",1978-1-1
"['Brady R O', 'Rosenberg R N']",1978-12-1
"['Kjessler B', 'Farhan M']",1978-1-1
[],1978-11-1
"['Pahel G', 'Bloom F R', 'Tyler B']",1979-5-1
"['Speit G', 'Vogel W']",1979-2-1
"['Gallango M L', 'Müller A', 'Suinaga R']",1978-12-1
['Simpson J L'],1979-6-28
['Richmond M H'],1979-4-11
['Sutherland G R'],1979-3-1
[],1979-8-1
"['Bruns G A', 'Mintz B J', 'Leary A C', 'Regina V M', 'Gerald P S']",1978-1-1
['Greene A E'],1978-1-1
"['Kosanović M', 'Nikolis J', 'Diklić V', 'Mijin K', 'Marković S', 'Stolović E', 'Zivanović Z']",1979-1-1
"['Shoemaker N B', 'Smith M D', 'Guild W R']",1979-8-1
"['Uehara H', 'Yamane K', 'Maruo B']",1979-8-1
"['Hors-Cayla M C', 'Heuertz S', 'Van Cong N', 'Weil D', 'Frézal J']",1979-5-23
"['Schaadt M', 'Kirchner H', 'Fonatsch C', 'Diehl V']",1979-6-15
"['Butler L O', 'Nicholas G', 'Grist R W']",1979-2-1
['Jarry B P'],1979-5-4
['Vogel F'],1979-7-18
"['Clift R A', 'Hansen J A', 'Thomas E D', 'Buckner C D', 'Sanders J E', 'Mickelson E M', 'Storb R', 'Johnson F L', 'Singer J W', 'Goodell B W']",1979-9-1
"['Dewald G', 'Rittner C']",1979-1-1
"['Matsuda M', 'Osafune M', 'Nakano E', 'Kotake T', 'Sonoda T', 'Watanabe S', 'Hada T', 'Okochi T', 'Higashino K', 'Yamamura Y', 'Abe T']",1979-11-1
"['Fujimoto S', 'Sato C', 'Yamagami Y', 'Arai E']",1978-1-1
"['Pahel G', 'Tyler B']",1979-9-1
[],1976-1-1
"['Verma R S', 'Khan F', 'Dosik H']",1979-11-1
"['Fryns J P', 'Jaeken J', 'van den Berghe H']",1979-1-1
['Mathies H'],1979-12-20
['Heumann W'],1979-1-1
[],1979-1-1
[],1979-1-1
"['Morgan S', 'Larossa R', 'Cheung A', 'Low B', 'Söll D']",1979-10-1
['Finley S C'],1979-2-1
"['Finnegan J', 'Egan J B']",1979-1-1
"['Kiko H', 'Niggemann E', 'Rüger W']",1979-1-1
"['Armendares S', 'Salamanca F', 'Cortés R']",1975-1-1
"['Shaw M T', 'Bottomley R H', 'Grozea P N', 'Nordquist R E']",1975-1-1
['HOOK E B'],1975-1-11
"['Aranka L', 'Lajos S']",1975-1-26
"['Sofuni T', 'Okada H']",1975-2-1
"['Lukić M L', 'Wortis H H', 'Leskowitz S']",1975-2-1
['Trusler S'],1975-1-4
"['Kunze J', 'Mau G']",1975-2-1
['Mittwoch U'],1975-2-15
['Braeman J'],1975-2-15
"['Terasaki P I', 'Mickey M R']",1975-1-1
"['Thomsen M', 'Platz P', 'Andersen O O', 'Christy M', 'Lyngsøoe ', 'Nerup J', 'Rasmussen K', 'Ryder L P', 'Nielsen L S', 'Svejgaard A']",1975-1-1
"['Jersild C', 'Dupont B', 'Fog T', 'Platz P J', 'Svejgaard A']",1975-1-1
"['Svejgaard A', 'Platz P', 'Ryder L P', 'Nielsen L S', 'Thomsen M']",1975-1-1
"['Dausset J', 'Hors J']",1975-1-1
"['Rood J J', 'Hooff J P', 'Keuning J J']",1975-1-1
"['Schanfield M S', 'Giles E', 'Gershowitz H']",1975-1-1
"['Wake C T', 'Ward O G']",1975-3-15
"['Cappana E', 'Cristaldi M', 'Perticone P', 'Rizzoni M']",1975-3-15
"['Passmore H C', 'Hansen T H']",1975-4-1
[],1975-3-1
"['Nelson M M', 'Blom A', 'Arens L']",1975-3-1
"['Chaganti R S', 'Morillo-Cucci G', 'Degnan M', 'German J']",1975-3-22
"['Sotomayor R E', 'Cumming R B']",1975-3-1
"['Lin M S', 'Davidson R L']",1975-3-27
"['Midro A', 'Kowalska-Wochna E', 'Wiśniewska Z', 'Jankowicz E']",1975-3-10
"['Shreffler D C', 'David C S']",1975-1-1
"['Srám R J', 'Kocisová J']",1975-1-1
"['Howard P N', 'Stoddard G R', 'Goddard M W', 'Seely J R']",1975-3-1
"['Shokeir M H', 'Ray M', 'Hamerton J L', 'Bauder F', ""O'Brien H""]",1975-3-1
['Miller L'],1975-1-25
['Prosser J S'],1975-1-1
"['Obe G', 'Beek B', 'Vaidya V G']",1975-1-1
"[""Sevast'ianova M V"", 'Zakharova L G', 'Gerasina S F', 'Sushko N I', ""Al'tshteĭn A D""]",1975-1-1
"['Frolov A K', 'Sokhin A A', 'Frolov V K', 'Lebedinskiĭ A P']",1975-1-1
"['Craig-Holmes A P', 'Moore F B', 'Shaw M W']",1975-3-1
"['Mcintosh I J', 'Brown R C', 'Coakley W T']",1975-3-1
"['Yanagisawa S', 'Yokoyama H']",1975-4-1
"['Hitachi P M', 'Yamada K', 'Takayama S']",1975-5-1
"['Canellos G P', 'Arseneau J C', 'DeVita V T', 'Whang-Peng J', 'Johnson R E']",1975-4-26
"['Kürten S', 'Obe G']",1975-2-1
"['Ziegler J B', 'Alper C A', 'Balner H']",1975-4-17
"['van Rood J J', 'van Leeuwen A', 'Keuning J J', 'van Oud Alblas A B']",1975-4-1
"['Dutrillaux B', 'Lejeune J']",1975-1-1
"['Kabat D', 'Koler R D']",1975-1-1
"['Mautner V', 'Williams J', 'Sambrook J', 'Sharp P A', 'Grodzicker T']",1975-5-1
"['Rapacz J', 'Dorida N', 'Stone W H']",1975-6-1
['Steegmüller H'],1975-1-1
"['Funes-Cravioto F', 'Lambert B', 'Lindsten J', 'Ehrenberg L', 'Natarajan A T', 'Osterman-Golkar S']",1975-2-22
"['Geerts S J', 'Pöttgens H', 'Limburg M', 'van Rood J J']",1975-2-22
"['Hecht F', 'McCaw B']",1975-5-3
[],1975-5-10
['Lawler S D'],1975-5-10
"['Alfi O', 'Derencsenyi A', 'Donnell G']",1975-5-31
['Hoo J J'],1975-6-7
"['Hayata I', 'KAKATI S', 'Sandberg A A']",1975-6-7
"['Niikawa N', 'Kajii T']",1975-6-21
"['Kato H', 'Shimada H']",1975-6-1
"['Goldstein B H', 'Tissot R G', 'Laskin D M', 'Cohen C']",1975-6-1
['Rennert O M'],1975-5-1
"['Sahgal V', 'Olsen W O']",1975-4-1
"['Wolff S H', 'Perry P']",1975-6-1
"['Fujimoto A', 'Wilson M G', 'Towner J W']",1975-1-1
"['Hauptfeld V', 'Klein J']",1975-8-1
"['Penchaszadeh V B', 'Coco R']",1975-6-1
['Kempen C'],1975-6-1
"['Ratcliffe S G', 'Evans H J']",1975-5-17
"['Schmidt R', 'Dar H', 'Santorineou M', 'Sekine I']",1975-5-17
['Goh K'],1975-6-14
['Evans W E'],1975-7-26
['Promchainant C'],1975-4-1
"['Gutierrez A C', 'Salamanca F', 'Lisker R', 'Segovia A']",1975-3-1
"['Kroyer S', 'Niebuhr E']",1975-3-1
"['Engel E', 'McKee L C', 'Flexner J M', 'McGee B J']",1975-3-1
"['Pasquali F', 'Zuffardi O', 'Zamboni G', 'Bernardi F']",1975-3-1
['Seller MJadinolfi M'],1975-6-1
"['Mainguy P N', 'Heddle J A', 'Brunette D M']",1975-1-1
"['Spiegelman S', 'Axel R', 'Baxt W', 'Kufe D', 'Schlom J']",1975-6-1
"['Gilgenkrantz S', 'Mauuary G', 'Dutrillaux B', 'Masocco G']",1975-1-1
"['Laurent C', 'Biemont M C', 'Dutrillaux B']",1975-1-1
"['Dittes H', 'Krone W', 'Bross K', 'Schmid M', 'Vogel W']",1975-1-1
"['Kunze J', 'Tolksdorf M', 'Wiedemann H R']",1975-1-1
['Crossen P E'],1975-1-1
"['Michalová K', 'Málková J', 'Chrz R']",1975-1-1
"['Sperling K', 'Wegner R D', 'Riehm H', 'Obe G']",1975-1-1
"['Stoll C', 'Juif J G', 'Luckel J C', 'Lausecker C']",1975-1-1
"['Cooke P', 'Seabright M', 'Wheeler M']",1975-7-23
['DiPaolo J A'],1975-3-1
"['Klein G', 'Klein E']",1975-6-15
"['Wolff S', 'Bodycote J']",1975-7-1
"['Munro A J', 'Taussig M J']",1975-7-10
"['Saito S', 'Naito S', 'Toyoda K', 'Konomi K', 'Yamamoto H']",1975-5-1
"['Pierres M', 'Fradelizi D', 'Neauport-Sautes C', 'Dausset J']",1975-5-1
"['Bodmer J G', 'Bodmer W F', 'Piazza A']",1975-6-1
"['Nurse G T', 'Bodmer J G', 'Bodmer W F', 'Van Leeuwen A', 'Van Rood J J', 'Du Toit E D', 'Botha M C']",1975-6-1
"['Klouda P T', 'Lawler S D']",1975-6-1
"['Hsia S', 'Ward F E', 'Chen W Y', 'Amos D B']",1975-7-1
"['Klein J', 'Hauptfeld M', 'Hauptfeld V']",1975-7-1
"['Sachs D H', 'Cullen S E', 'David C S']",1975-5-1
"['Ward R H', 'Gershowitz H', 'Layrisse M', 'Neel J V']",1975-1-1
"['Liang W', 'Cohen E P']",1975-8-1
"['Hill S Y', 'Goodwin D W', 'Cadoret R', 'Osterland C K', 'Doner S M']",1975-7-1
"['Purchase I F', 'Richardson C R', 'Anderson D']",1975-8-30
[],1975-9-20
[],1975-9-27
"['van Biervliet J P', 'van Hemel J', 'Geurts K', 'Punt K', 'de Boer-Van Wering E']",1975-9-27
['Schmid W'],1975-5-20
"['Hoshino K', 'Ray M', 'Ward E']",1975-7-1
"['Seyfriedowa H', 'Walewska I']",1975-7-1
['Hoehn H'],1975-9-1
"['Papiha S S', 'Roberts D F', 'Ali S G', 'Islam M M']",1975-8-25
['Burgerhout W'],1975-9-23
"['HAkansson E M', 'Lundin L G']",1975-5-1
"['Arbeit R D', 'Sachs D H', 'Amos D B', 'Dickler H B']",1975-10-1
"['Upadhyaya K C', 'Verma I C', 'Ghai O P']",1975-10-11
['Frias J L'],1975-9-1
"['Galloway S M', 'Evans H J']",1975-1-1
"['Niikawa N', 'Kajii T']",1975-10-20
"['Marsh W L', 'Ehrich C C']",1975-8-1
"['Koch G', 'Schwanitz G']",1975-10-24
['Kuçerová M'],1975-8-1
"['Perry P', 'Evans H J']",1975-11-13
"['Benveniste R E', 'Sherr C J', 'Todaro G J']",1975-11-28
"['Thorsby E', 'Helgesen A', 'Rankin B', 'Möller E', 'Kaakinen A']",1975-9-1
"['Geerdink R A', 'Okhura K', 'Li Fo Sjoe E', 'Schillhorn van Veen J M', 'Bartstra H A']",1975-9-1
"['Enea V', 'Zinder N D']",1975-11-1
"['Swanbeck G', 'Thyresson-Hök M', 'Bredberg A', 'Lambert B']",1975-1-1
"['Anderson J E', 'Teng Y S', 'Giblett E R']",1975-1-1
"['Goodpasture C', 'Bloom S E']",1975-11-20
"['Sofuni T', 'Tanabe K', 'Naruto J', 'Awa A A']",1975-11-6
"['Brinkley B R', 'Hittelman W N']",1975-1-1
"['Laxova R', 'Lewis B V', 'Suddaby M']",1975-11-15
['Drets M E'],1975-11-22
"['Nordén A', 'Scherstén B', 'Thulin T', 'Pero R W', 'Bryngelsson C', 'Mitelman F']",1975-11-29
"['Leschot N J', 'Treffers P E']",1975-12-6
"['Mulcany M T', 'Stevens J B']",1975-12-13
['Super M'],1975-12-20
['Levina L Ia'],1975-11-11
"['Peakman D C', 'Robinson A']",1976-1-1
"['Hossfeld D K', 'Höffken K', 'Schmidt C G', 'Diedrichs H']",1976-1-24
['Madden J S'],1976-1-24
['Goyanes-Villaescusa V'],1976-2-14
"['Bowser-Riley S', 'Bain A D', 'Noble J', 'Lamb D W']",1975-12-27
['Sidiropoulos D'],1975-12-9
"['Silver J', 'Hood L']",1976-2-1
"['Savkovié N', 'Pecevski J', 'Gelineo A']",1975-12-1
"['Benacerraf B', 'Katz D H']",1975-1-1
"['Miller O J', 'Miller D A']",1975-1-1
['Greenwald E F'],1975-12-1
"['Stengel-Rutkowski S', 'Wirtz A', 'Hahn B', 'Hofmeister A', 'Murken J D']",1976-2-29
['Bach F H'],1976-2-1
"['Cullen S E', 'David C S', 'Cone J L', 'Sachs D H']",1976-2-1
"['Kees U', 'Blanden R V']",1976-2-1
"['Matossian-Rogers A', 'Festenstein H']",1976-2-1
"['Schwartz B D', 'Kask A M', 'Paul W E', 'Shevach E M']",1976-3-1
"['Boue J', 'Hazel-Massieux P', 'Larget-Piet L', 'Leonard C']",1975-10-1
"['Pallister P D', 'Herrmann J', 'Meisner L F', 'Inhorn S I', 'Opitz J M']",1976-2-21
['Hoo J J'],1976-2-21
['Gregson N M'],1976-3-20
"['Svejgaard A', 'Hauge M', 'Jersild C', 'Platz P', 'Ryder L P', 'Nielsen L S', 'Thomsen M']",1975-1-1
"['Kucerová M', 'Polívková Z', 'Srám R', 'Matousek V']",1976-2-1
"['Kucerová M', 'Polívková Z']",1976-2-1
"['Cantor H', 'Weissman I']",1976-1-1
"['Dallaire L', 'Morin-Gonthier M', 'Potier M', 'Melançon S B']",1975-12-1
['Kucerová M'],1975-12-1
['Stickl V H'],1976-2-5
"['Conrad S E', 'Dussik K T', 'Siegel E C']",1976-3-1
"['Tonkonogy S L', 'Winn H J']",1976-3-1
"['Infante P F', 'Wagoner J K', 'McMichael A J', 'Waxweiler R J', 'Falk H']",1976-4-3
"['Lloyd D C', 'Cooper S J', 'Wall B F']",1976-4-17
"['Kunz J', 'Schmid J', 'Schmid W', 'Schreiner W E']",1975-11-15
"['Tolarová M', 'Morton N E']",1975-1-1
"['Hayez-Delatte F', 'Feremans W']",1975-1-1
"['Friend K K', 'Dorman B P', 'Kucherlapati R S', 'Ruddle F H']",1976-4-1
"['Joshi S H', 'Shanbhag S', 'Bhatia H M']",1975-9-1
['Stott A N'],1976-5-22
"['Orye E', 'Craen M']",1975-1-1
['Lonai P'],1976-1-1
['Nadler H L'],1976-1-1
"['Brynes R K', 'Golomb H M', 'Desser R K', 'Recant W', 'Reese C', 'Rowley J']",1976-4-1
['Hirschhorn K'],1975-12-31
[],1975-1-1
[],1976-1-1
"['Womack J E', 'Sharp M']",1976-4-1
"['Centerwall W R', 'Miller K S', 'Reeves L M']",1976-2-1
"['Mamaev N N', ""Afanas'ev B V""]",1976-1-1
"['Brewen J G', 'Payne H S', 'Preston R J']",1976-4-1
"['Smyth D R', 'Evans H J']",1976-4-1
['Winkelmann R K'],1976-1-1
"['Hill M', 'Hillova J']",1976-1-1
['Kondo M'],1975-12-1
"['Kirchner M', 'Jahn G']",1976-1-1
"['Kirchner M', 'Franck A', 'Appenroth D']",1976-1-1
"['Smith M', 'Gold P', 'Shuster J', 'Tanigaki N', 'Pressman D']",1976-4-1
"['Gilgenkrantz S', 'Walbaum R', 'Mauuary G', 'Pierson M']",1976-3-1
['Menzel D B'],1976-5-1
"['Niermeijer M F', 'Sachs E S', 'Jahodova M', 'Tichelaar-Klepper C', 'Kleijer W J', 'Galjaard H']",1976-6-1
"['Niederhuber J E', 'Frelinger J A', 'Dugan E', 'Shreffler D C']",1976-6-1
[],1976-7-17
"['Mitelman F', 'Levan G']",1976-7-31
"['Stengel-Rutkowski S', 'Walther J U', 'Wirtz A', 'Frankenberger R', 'Albert A', 'Murken J D']",1976-5-7
['Milunsky A'],1976-8-12
['Dausset J'],1976-5-22
"['Glade P R', 'Beratis N G']",1976-1-1
['Weitkamp L R'],1976-5-1
"['David C S', 'Colombani J', 'Colombani M', 'Cullen S E']",1976-6-1
"['Gomez G A', 'Sokal J E', 'Mittelman A', 'Aungst C W']",1976-7-1
['Shaw J F'],1976-7-1
"['Golomb H M', 'Vardiman J', 'Rowley J D']",1976-7-1
['Buckton K E'],1976-5-1
"['Gustavsson I', 'Hageltorn M', 'Zech L']",1976-6-14
"['Bruère A N', 'Chapman H M', 'Jaine P M', 'Morris R M']",1976-5-1
"['Shaw J F', 'Kansal P C', 'Gatti R A']",1976-8-7
"['van Rood J J', 'van Leeuwen A', 'Termijtelen A', 'Keuning J J']",1976-1-1
"['McDevitt H O', 'Delovitch T L', 'Press J L', 'Murphy D B']",1976-1-1
"['Cullen S E', 'Freed J H', 'Nathenson S G']",1976-1-1
"['Balner H', 'van Vreeswijk W', 'Roger J H']",1976-1-1
"['Klein J', 'Hauptfeld V']",1976-1-1
"['De Weck A L', 'Geczy A F', 'Sato W', 'Mueller E']",1976-3-1
"['Hirschberg H', 'Thorsby E']",1976-4-1
"['Opelz G', 'Terasaki P I']",1976-4-1
"['Kulikov R I', 'Mashkova M V', 'Verlinskaia D K', 'Bondarev G N']",1976-2-1
"['Philip J', 'Lundsteen C', 'Owen D', 'Hirschhorn K']",1976-7-1
"['Luciani J M', 'Devictor M', 'Morazzani M R', 'Stahl A']",1976-8-17
"['Müller H', 'Stalder G R']",1976-8-16
['Scheid W'],1976-8-1
"['Lin C C', 'Gedeon M M', 'Griffith P', 'Smink W K', 'Newton D R', 'Wilkie L', 'Sewell L M']",1976-3-12
"['Bain A D', 'Smith I I', 'Bauld R', 'Riley S B', 'Watson J']",1976-8-14
"['Bach F H', 'van Rood J J']",1976-10-7
"['Bach F H', 'Rood J J']",1976-10-14
"['Barbacid M', 'Stephenson J R', 'Aaronson S A']",1976-8-12
"['Yakura H', 'Wakisaka A', 'Aizawa M', 'Itakura K', 'Tagawa Y']",1976-7-1
"['Roger J H', 'van Vreeswijk W', 'Dorf M E', 'Balner H']",1976-7-1
"['Makletsova Iu I', 'Petrovskaia V G']",1976-1-1
"['Fougereau M', 'Schiff C', 'Mathieu C', 'de Préval C', 'Bourgois A', 'Moulin A', 'Rocca-Serra J']",1976-6-1
"['Cazenave P A', 'Roland J']",1976-6-1
"['Maniatis T', 'Kee S G', 'Efstratiadis A', 'Kafatos F C']",1976-6-1
"['Kubo R T', 'Grey H M']",1976-1-1
['Klein J'],1976-1-1
['Wischnitzer S'],1976-1-1
"['Fischer P', 'Kim M A']",1975-1-1
"['Boczkowski K', 'Mickiewicz E']",1976-7-1
"['Mourant A E', 'Tills D', 'Domaniewska-Sobczak K']",1976-8-30
"['Halloran P', 'Schirrmacher V']",1976-1-1
"['Geczy A F', 'de Weck A L']",1976-6-1
"['Matsunaga M', 'Sadamori N', 'Tomonaga Y', 'Tagawa M', 'Ichimaru M']",1976-6-1
"['Mitelman F', 'Hartley-Asp B', 'Ursing B']",1976-10-9
['Persaud T V'],1976-1-1
"['Simpson N E', 'Dallaire L', 'Miller J R', 'Siminovich L', 'Hamerton J L', 'Miller J', 'McKeen C']",1976-10-23
"['Nicolas J F', 'Avner P', 'Gaillard J', 'Guenet J L', 'Jakob H', 'Jacob F']",1976-11-1
"['Jones E A', 'Goodfellow P', 'Kennett R H', 'Bodmer W F']",1976-1-1
"['Koo G C', 'Wachtel S S', 'Breg W R', 'Miller O J']",1976-1-1
"['Kucherlapati R S', 'Faber H E', 'Poulik M D', 'Ruddle F H', 'Smithies O']",1976-1-1
"['Schacter B', 'Kucherlapati R S', 'Ruddle F H']",1976-1-1
[],1976-1-1
"['Buck D W', 'Goss S J', 'Bodmer W F']",1976-1-1
"['Tantravahi R', 'Miller D A', 'Dev V G', 'Miller O J']",1976-6-30
"['Kunze J', 'Oldigs H D', 'Tolksdorf M']",1976-9-1
"['Lambert B', 'Hansson K', 'Lindsten J', 'Sten M', 'Werelius B']",1976-1-1
"['Hageltorn M', 'Gustavsson I', 'Zech L']",1976-1-1
"['Frelinger J A', 'Niederhuber J E', 'Shreffler D C']",1976-10-1
"['Biedler J L', 'Spengler B A']",1976-9-1
['Malvaux P'],1976-1-1
"['Moraes J R', 'Stastny P']",1976-10-1
['Festenstein H'],1976-9-1
['Balner H'],1976-9-1
"['van Rood J J', 'van Leeuwen A']",1976-9-1
"['Lopez M', 'Liberge G', 'Gerbal A', 'Brocteur J', 'Salmon C']",1976-1-1
['Hirschhorn K'],1976-1-1
['Cervenka J'],1976-12-1
"['Freund J G', 'Ahmed A', 'Budd R E', 'Dorf M E', 'Sell K W', 'Vannier W E', 'Humphreys R E']",1976-11-1
"['Ahmed A', 'Scher I']",1976-11-1
